delta,transformedValue,naturalValue,loss
-0.2575,0.18743154,0.18743154,1.2744185
-0.255,0.18993154,0.18993154,1.2744592
-0.2525,0.19243154,0.19243154,1.2764597
-0.25,0.19493154,0.19493154,1.276993
-0.2475,0.19743153,0.19743153,1.2725265
-0.245,0.19993153,0.19993153,1.2686208
-0.24249999,0.20243154,0.20243154,1.266653
-0.24,0.20493154,0.20493154,1.264503
-0.2375,0.20743154,0.20743154,1.2622666
-0.235,0.20993154,0.20993154,1.2614179
-0.2325,0.21243154,0.21243154,1.260833
-0.23,0.21493153,0.21493153,1.2607106
-0.2275,0.21743153,0.21743153,1.2605058
-0.22500001,0.21993153,0.21993153,1.2623732
-0.22250001,0.22243153,0.22243153,1.2650656
-0.22000001,0.22493152,0.22493152,1.2651064
-0.2175,0.22743154,0.22743154,1.2650394
-0.215,0.22993153,0.22993153,1.2637626
-0.2125,0.23243153,0.23243153,1.2673233
-0.21000001,0.23493153,0.23493153,1.272694
-0.20750001,0.23743153,0.23743153,1.2754669
-0.205,0.23993154,0.23993154,1.2799886
-0.2025,0.24243154,0.24243154,1.2837262
-0.2,0.24493153,0.24493153,1.2849816
-0.19749999,0.24743155,0.24743155,1.2860062
-0.19500001,0.24993153,0.24993153,1.2867589
-0.1925,0.25243154,0.25243154,1.2836287
-0.19000001,0.2549315,0.2549315,1.2830681
-0.1875,0.25743154,0.25743154,1.2810113
-0.18499999,0.25993156,0.25993156,1.2811818
-0.1825,0.26243153,0.26243153,1.2834765
-0.17999999,0.26493156,0.26493156,1.2864795
-0.17750001,0.26743153,0.26743153,1.2839031
-0.175,0.26993155,0.26993155,1.2818137
-0.1725,0.27243155,0.27243155,1.2820655
-0.17,0.27493155,0.27493155,1.2836375
