delta,transformedValue,naturalValue,delta2,transformedValue2,naturalValue2,loss
-1.0,0.11234021,1.1188935,-0.175,0.49287194,0.49287194,3.9334748
-1.0,0.11234021,1.1188935,-0.153125,0.51474696,0.51474696,3.7462056
-1.0,0.11234021,1.1188935,-0.13125,0.5366219,0.5366219,3.5422573
-1.0,0.11234021,1.1188935,-0.109375,0.55849695,0.55849695,3.3703024
-1.0,0.11234021,1.1188935,-0.087500006,0.580372,0.580372,3.2044787
-1.0,0.11234021,1.1188935,-0.06562501,0.60224694,0.60224694,3.0340776
-1.0,0.11234021,1.1188935,-0.043749988,0.62412196,0.62412196,2.8626585
-1.0,0.11234021,1.1188935,-0.021874994,0.6459969,0.6459969,2.6879137
-1.0,0.11234021,1.1188935,0.0,0.66787195,0.66787195,2.524283
-1.0,0.11234021,1.1188935,0.021874994,0.689747,0.689747,2.364094
-1.0,0.11234021,1.1188935,0.043749988,0.71162194,0.71162194,2.222537
-1.0,0.11234021,1.1188935,0.06562501,0.73349696,0.73349696,2.0908651
-1.0,0.11234021,1.1188935,0.087500006,0.7553719,0.7553719,1.948973
-1.0,0.11234021,1.1188935,0.109375,0.77724695,0.77724695,1.8285863
-1.0,0.11234021,1.1188935,0.13125,0.799122,0.799122,1.7093472
-1.0,0.11234021,1.1188935,0.15312502,0.820997,0.820997,1.6058377
-1.0,0.11234021,1.1188935,0.17499998,0.8428719,0.8428719,1.5110615
-1.0,0.11234021,1.1188935,0.196875,0.8647469,0.8647469,1.4298865
-1.0,0.11234021,1.1188935,0.21874997,0.88662195,0.88662195,1.3538786
-1.0,0.11234021,1.1188935,0.240625,0.908497,0.908497,1.2932447
-1.0,0.11234021,1.1188935,0.26250002,0.930372,0.930372,1.2496645
-1.0,0.11234021,1.1188935,0.28437498,0.9522469,0.9522469,1.2132137
-1.0,0.11234021,1.1188935,0.30625,0.9741219,0.9741219,1.1840024
-1.0,0.11234021,1.1188935,0.32812497,0.99599695,0.99599695,1.1717683
-1.0,0.11234021,1.1188935,0.35,1.017872,1.017872,1.1696694
-0.875,0.23734021,1.2678723,-0.35,0.31787196,0.31787196,4.09271
-0.875,0.23734021,1.2678723,-0.328125,0.33974695,0.33974695,4.3299065
-0.875,0.23734021,1.2678723,-0.30625,0.36162195,0.36162195,4.357519
-0.875,0.23734021,1.2678723,-0.284375,0.38349694,0.38349694,4.3601017
-0.875,0.23734021,1.2678723,-0.2625,0.40537196,0.40537196,4.347064
-0.875,0.23734021,1.2678723,-0.240625,0.42724696,0.42724696,4.2787924
-0.875,0.23734021,1.2678723,-0.21875,0.44912195,0.44912195,4.137363
-0.875,0.23734021,1.2678723,-0.19687499,0.47099698,0.47099698,3.9931471
-0.875,0.23734021,1.2678723,-0.175,0.49287194,0.49287194,3.7804916
-0.875,0.23734021,1.2678723,-0.153125,0.51474696,0.51474696,3.563857
-0.875,0.23734021,1.2678723,-0.13125,0.5366219,0.5366219,3.3600955
-0.875,0.23734021,1.2678723,-0.109375,0.55849695,0.55849695,3.178361
-0.875,0.23734021,1.2678723,-0.087500006,0.580372,0.580372,2.9940016
-0.875,0.23734021,1.2678723,-0.06562501,0.60224694,0.60224694,2.7989736
-0.875,0.23734021,1.2678723,-0.043749988,0.62412196,0.62412196,2.6113763
