delta,transformedValue,naturalValue,delta2,transformedValue2,naturalValue2,delta3,transformedValue3,naturalValue3,loss
-0.5,-0.22833744,-0.22833744,-0.1615625,0.1296911,0.1296911,0.75,0.24370998,1.2759743,8.697207
-0.5,-0.22833744,-0.22833744,-0.1615625,0.1296911,0.1296911,1.0,0.49370998,1.6383834,10.166605
-0.5,-0.22833744,-0.22833744,-0.146875,0.1443786,0.1443786,-1.0,-1.50629,0.22173108,2.1590438
-0.5,-0.22833744,-0.22833744,-0.146875,0.1443786,0.1443786,-0.75,-1.25629,0.28470835,2.6673198
-0.5,-0.22833744,-0.22833744,-0.146875,0.1443786,0.1443786,-0.5,-1.00629,0.36557275,3.3096435
-0.5,-0.22833744,-0.22833744,-0.146875,0.1443786,0.1443786,-0.25,-0.75629,0.4694047,4.1341324
-0.5,-0.22833744,-0.22833744,-0.146875,0.1443786,0.1443786,0.0,-0.50629,0.60272753,5.126952
-0.5,-0.22833744,-0.22833744,-0.146875,0.1443786,0.1443786,0.25,-0.25629002,0.7739175,6.2319827
-0.5,-0.22833744,-0.22833744,-0.146875,0.1443786,0.1443786,0.5,-0.0062900186,0.9937297,7.4504375
-0.5,-0.22833744,-0.22833744,-0.146875,0.1443786,0.1443786,0.75,0.24370998,1.2759743,8.790758
-0.5,-0.22833744,-0.22833744,-0.146875,0.1443786,0.1443786,1.0,0.49370998,1.6383834,10.264028
-0.5,-0.22833744,-0.22833744,-0.13218749,0.15906611,0.15906611,-1.0,-1.50629,0.22173108,2.2254593
-0.5,-0.22833744,-0.22833744,-0.13218749,0.15906611,0.15906611,-0.75,-1.25629,0.28470835,2.7427151
-0.5,-0.22833744,-0.22833744,-0.13218749,0.15906611,0.15906611,-0.5,-1.00629,0.36557275,3.3944495
-0.5,-0.22833744,-0.22833744,-0.13218749,0.15906611,0.15906611,-0.25,-0.75629,0.4694047,4.228545
-0.5,-0.22833744,-0.22833744,-0.13218749,0.15906611,0.15906611,0.0,-0.50629,0.60272753,5.228808
-0.5,-0.22833744,-0.22833744,-0.13218749,0.15906611,0.15906611,0.25,-0.25629002,0.7739175,6.342653
-0.5,-0.22833744,-0.22833744,-0.13218749,0.15906611,0.15906611,0.5,-0.0062900186,0.9937297,7.569832
-0.5,-0.22833744,-0.22833744,-0.13218749,0.15906611,0.15906611,0.75,0.24370998,1.2759743,8.917902
-0.5,-0.22833744,-0.22833744,-0.13218749,0.15906611,0.15906611,1.0,0.49370998,1.6383834,10.399572
-0.5,-0.22833744,-0.22833744,-0.11750001,0.17375359,0.17375359,-1.0,-1.50629,0.22173108,2.320817
-0.5,-0.22833744,-0.22833744,-0.11750001,0.17375359,0.17375359,-0.75,-1.25629,0.28470835,2.8498664
-0.5,-0.22833744,-0.22833744,-0.11750001,0.17375359,0.17375359,-0.5,-1.00629,0.36557275,3.5125144
-0.5,-0.22833744,-0.22833744,-0.11750001,0.17375359,0.17375359,-0.25,-0.75629,0.4694047,4.3591757
-0.5,-0.22833744,-0.22833744,-0.11750001,0.17375359,0.17375359,0.0,-0.50629,0.60272753,5.370989
-0.5,-0.22833744,-0.22833744,-0.11750001,0.17375359,0.17375359,0.25,-0.25629002,0.7739175,6.4980426
-0.5,-0.22833744,-0.22833744,-0.11750001,0.17375359,0.17375359,0.5,-0.0062900186,0.9937297,7.7406316
