delta,transformedValue,naturalValue,delta2,transformedValue2,naturalValue2,loss
-0.25,0.021662563,0.021662563,-0.2790625,0.012191087,0.012191087,3.3512669
-0.25,0.021662563,0.021662563,-0.264375,0.026878595,0.026878595,3.3163617
-0.25,0.021662563,0.021662563,-0.2496875,0.041566104,0.041566104,3.2946367
-0.25,0.021662563,0.021662563,-0.235,0.056253597,0.056253597,3.2925117
-0.25,0.021662563,0.021662563,-0.2203125,0.07094109,0.07094109,3.2914827
-0.25,0.021662563,0.021662563,-0.205625,0.0856286,0.0856286,3.2824113
-0.25,0.021662563,0.021662563,-0.19093749,0.10031611,0.10031611,3.2620807
-0.25,0.021662563,0.021662563,-0.17625001,0.115003586,0.115003586,3.239033
-0.25,0.021662563,0.021662563,-0.1615625,0.1296911,0.1296911,3.2244403
-0.25,0.021662563,0.021662563,-0.146875,0.1443786,0.1443786,3.2213652
-0.25,0.021662563,0.021662563,-0.13218749,0.15906611,0.15906611,3.2230477
-0.25,0.021662563,0.021662563,-0.11750001,0.17375359,0.17375359,3.2237537
-0.25,0.021662563,0.021662563,-0.1028125,0.1884411,0.1884411,3.2181814
-0.25,0.021662563,0.021662563,-0.08812499,0.2031286,0.2031286,3.2098496
-0.25,0.021662563,0.021662563,-0.07343751,0.21781608,0.21781608,3.1972752
-0.25,0.021662563,0.021662563,-0.058750004,0.2325036,0.2325036,3.1825657
-0.25,0.021662563,0.021662563,-0.044062495,0.2471911,0.2471911,3.1682527
-0.25,0.021662563,0.021662563,-0.029374987,0.2618786,0.2618786,3.1536617
-0.25,0.021662563,0.021662563,-0.014687508,0.2765661,0.2765661,3.139262
-0.25,0.021662563,0.021662563,0.0,0.2912536,0.2912536,3.124442
-0.25,0.021662563,0.021662563,0.014687508,0.3059411,0.3059411,3.1097698
-0.25,0.021662563,0.021662563,0.029374987,0.32062858,0.32062858,3.0967114
-0.25,0.021662563,0.021662563,0.044062525,0.33531612,0.33531612,3.0881007
-0.25,0.021662563,0.021662563,0.058750004,0.3500036,0.3500036,3.08251
-0.25,0.021662563,0.021662563,0.07343748,0.36469108,0.36469108,3.0793571
-0.25,0.021662563,0.021662563,0.08812502,0.37937862,0.37937862,3.0835617
-0.25,0.021662563,0.021662563,0.1028125,0.3940661,0.3940661,3.0921757
-0.25,0.021662563,0.021662563,0.11749998,0.40875357,0.40875357,3.0917764
-0.25,0.021662563,0.021662563,0.13218752,0.4234411,0.4234411,3.0800576
-0.25,0.021662563,0.021662563,0.146875,0.4381286,0.4381286,3.0636938
-0.25,0.021662563,0.021662563,0.16156247,0.45281607,0.45281607,3.0581512
-0.25,0.021662563,0.021662563,0.17625001,0.4675036,0.4675036,3.067715
-0.25,0.021662563,0.021662563,0.19093749,0.4821911,0.4821911,3.0839288
-0.25,0.021662563,0.021662563,0.20562503,0.49687862,0.49687862,3.0988986
-0.25,0.021662563,0.021662563,0.2203125,0.5115661,0.5115661,3.103801
-0.25,0.021662563,0.021662563,0.23499998,0.5262536,0.5262536,3.1018066
-0.25,0.021662563,0.021662563,0.24968752,0.5409411,0.5409411,3.1058486
-0.25,0.021662563,0.021662563,0.264375,0.5556286,0.5556286,3.1221318
-0.25,0.021662563,0.021662563,0.27906248,0.5703161,0.5703161,3.139725
-0.25,0.021662563,0.021662563,0.29375002,0.5850036,0.5850036,3.151646
-0.25,0.021662563,0.021662563,0.3084375,0.5996911,0.5996911,3.1524594
-0.25,0.021662563,0.021662563,0.32312497,0.6143786,0.6143786,3.1491396
-0.25,0.021662563,0.021662563,0.3378125,0.6290661,0.6290661,3.1577585
-0.25,0.021662563,0.021662563,0.3525,0.6437536,0.6437536,3.1766632
-0.25,0.021662563,0.021662563,0.36718747,0.65844107,0.65844107,3.1965888
-0.25,0.021662563,0.021662563,0.381875,0.6731286,0.6731286,3.2138548
